vendor_id,pickup_month,pickup_hour,pickup_day_of_week,dropoff_month,dropoff_hour,dropoff_day_of_week,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,trip_type
2,1,0,2,1,1,2,1,9.78,35,0,2,1
2,1,0,2,1,0,2,2,1.34,26,0,1,1
2,1,1,2,1,2,2,1,10.34,34.5,7.16,1,1
2,1,1,2,1,2,2,1,9.79,30.5,0,2,1
2,1,2,2,1,3,2,1,10.99,35,9.08,1,1
2,1,2,2,1,2,2,5,10.36,36.5,5.67,1,1
2,1,2,2,1,3,2,1,11.24,38.5,7.96,1,1
2,1,2,2,1,2,2,1,7.07,25.5,2.68,1,1
2,1,3,2,1,4,2,1,15.29,44.5,9.16,1,1
1,1,3,2,1,4,2,2,8,25.5,0,2,1
2,1,4,2,1,5,2,1,11.51,31.5,0,2,1
2,1,4,2,1,4,2,1,8.92,29.5,9.24,1,1
2,1,12,2,1,12,2,1,9.39,30,0,2,1
2,1,12,2,1,12,2,1,23.06,78,0,1,1
2,1,16,2,1,17,2,1,11.34,34.5,0,2,1
2,1,16,2,1,16,2,1,7,27.5,5.66,1,1
2,1,18,2,1,18,2,1,9.11,28,0,1,1
2,1,19,2,1,20,2,1,8.45,28,0,1,1
2,1,20,2,1,20,2,1,10.55,32,0,2,1
2,1,22,2,1,22,2,1,0.69,-4.5,0,4,1
2,1,6,3,1,7,3,1,7.76,28,0,1,1
2,1,9,3,1,10,3,1,13.66,44,0,1,1
2,1,9,3,1,9,3,1,8.26,26.5,6.61,1,1
2,1,11,3,1,12,3,1,29.19,84,0,1,1
2,1,12,3,1,13,3,1,12.76,45.5,13.89,1,1
2,1,13,3,1,13,3,1,7.8,27.5,0,2,1
2,1,13,3,1,14,3,1,14.1,40.5,0,2,1
2,1,14,3,1,15,3,1,3.88,0,0,2,1
2,1,17,3,1,18,3,1,17.59,54.5,0,2,1
2,1,17,3,1,17,3,4,8.29,26.5,7.08,1,1
1,1,19,3,1,19,3,1,1.9,0,0,4,2
2,1,20,3,1,20,3,5,13.29,36,0,2,1
1,1,19,3,1,20,3,1,7.9,25.5,6.8,1,1
2,1,21,3,1,22,3,1,7.92,25.5,0,2,1
2,1,22,3,1,23,3,1,20.55,57.5,0,2,1
2,1,8,4,1,9,4,6,9.19,30,0,2,1
2,1,9,4,1,9,4,1,6.68,25.5,8,1,1
2,1,10,4,1,10,4,1,11.22,32.5,0,1,1
2,1,10,4,1,11,4,1,9.32,34.5,7.06,1,1
2,1,11,4,1,12,4,1,17.69,52,0,1,1
2,1,11,4,1,12,4,1,11.82,34,0,1,1
2,1,11,4,1,12,4,1,22.2,65,0,2,1
2,1,12,4,1,12,4,1,0.04,30,0,1,2
2,1,12,4,1,12,4,1,9.35,32.5,6.66,1,1
